uniqueid,drugname,condition,rating,date,usefulcount
146651,Tamsulosin,Benign Prostatic Hyperplasia,6,2011-08-07,104
25240,Tofacitinib,Rheumatoid Arthritis,9,2013-12-20,75
5357,Cryselle,Endometriosis,7,2014-02-02,14
13407,Amphetamine / dextroamphetamine,ADHD,2,2015-05-20,57
46742,Clindamycin,Acne,8,2016-08-13,32
11464,Pramipexole,Restless Legs Syndrome,1,2016-06-04,16
124544,Skyla,Birth Control,10,2015-07-14,3
229996,Lastacaft,"Conjunctivitis, Allergic",1,2011-11-30,36
131523,Effexor XR,Anxiety,2,2017-08-27,13
209386,Nifedipine,Raynaud's Syndrome,1,2014-07-19,22
229572,Lurasidone,Schizophrenia,8,2015-02-19,26
105440,Afrezza,"Diabetes, Type 1",10,2015-02-12,125
201582,Zoloft,Depression,1,2013-01-14,51
158346,Ziprasidone,Schizophrenia,10,2008-04-20,33
159659,Bactrim,Kidney Infections,1,2017-12-06,0
15423,Ethinyl estradiol / norethindrone,Birth Control,3,2017-02-07,4
95748,Sertraline,Major Depressive Disorde,10,2014-11-02,88
6971,Aluminum chloride hexahydrate,Hyperhidrosis,7,2015-11-05,5
131683,Effexor XR,Depression,1,2016-04-24,18
188604,ParaGard,Birth Control,1,2016-01-29,4
19559,Pregabalin,Generalized Anxiety Disorde,10,2013-07-31,228
104580,Ethinyl estradiol / levonorgestrel,Birth Control,9,2011-07-16,4
26989,Ultram,Pain,10,2012-02-24,36
128575,Phentermine,Obesity,10,2015-06-07,5
122089,Venlafaxine,Depression,8,2010-12-13,36
191146,Campral,Alcohol Dependence,10,2009-11-12,80
120889,Venlafaxine,Depression,1,2017-10-12,5
167387,Levonorgestrel,Emergency Contraception,10,2016-03-20,14
204427,BuSpar,Anxiety,4,2015-09-13,17
58200,Acetaminophen / hydrocodone,Pain,8,2008-10-20,21
147575,Aviane,Birth Control,10,2011-01-11,9
181913,Inderal,Migraine Prevention,10,2015-01-29,45
177034,Promethazine,Nausea/Vomiting,10,2010-09-25,22
213569,Tioconazole,Vaginal Yeast Infection,3,2017-09-13,0
138243,Orthovisc,Osteoarthritis,1,2017-07-30,12
107660,Implanon,Birth Control,5,2010-07-09,1
34479,Marezine,Motion Sickness,10,2013-07-24,22
129438,Levonorgestrel,Birth Control,10,2015-08-26,1
102941,Aripiprazole,Bipolar Disorde,8,2010-09-26,16
167908,Minoxidil,High Blood Pressure,1,2016-01-04,10
56193,Humira,Psoriatic Arthritis,10,2017-05-21,4
159628,"Insulin inhalation, rapid acting","Diabetes, Type 1",1,2015-05-13,9
58280,Acetaminophen / hydrocodone,Pain,9,2008-04-16,15
38461,Phenazopyridine,Interstitial Cystitis,10,2013-07-12,34
128928,Levonorgestrel,Birth Control,10,2015-12-12,0
41991,Clonidine,ADHD,10,2011-04-30,159
85618,Ethinyl estradiol / norgestimate,Birth Control,4,2014-07-20,35
62652,Nicoderm CQ,Smoking Cessation,10,2017-02-24,14
129850,Levonorgestrel,Emergency Contraception,8,2015-04-27,9
103401,Celecoxib,Osteoarthritis,1,2009-02-12,35
45260,Fluoxetine,Major Depressive Disorde,10,2015-11-23,58
222701,Topamax,Migraine Prevention,1,2015-09-14,31
218886,Depakote,Bipolar Disorde,8,2012-01-22,22
224062,Riboflavin,Migraine Prevention,8,2011-08-24,22
9723,Lo Loestrin Fe,Birth Control,1,2015-10-02,3
215685,Copper,Birth Control,5,2017-04-11,6
188968,Drospirenone / estradiol,Postmenopausal Symptoms,10,2017-06-02,7
224823,Bupropion,Depression,4,2017-01-13,15
169168,Bacitracin / neomycin / polymyxin b,Bacterial Skin Infection,10,2017-04-30,0
138742,Phentermine,Weight Loss,9,2011-05-18,19
81226,Yaz,Birth Control,2,2016-12-04,4
215782,Copper,Birth Control,10,2016-11-17,24
219697,Amitriptyline,ibromyalgia,1,2017-11-30,0
168177,Jolessa,Birth Control,9,2009-07-19,5
21821,Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,9,2011-10-14,12
189728,Oxycodone,Pain,10,2008-09-10,60
108899,Nexplanon,Birth Control,3,2017-07-04,2
224904,Bupropion,Depression,5,2016-09-04,11
135063,Brisdelle,Hot Flashes,2,2016-01-30,15
225258,Bupropion,Smoking Cessation,10,2015-10-07,11
6760,Beyaz,Acne,10,2012-08-14,12
9695,Lo Loestrin Fe,Birth Control,10,2015-09-10,10
44179,Ethinyl estradiol / norgestimate,Birth Control,5,2011-08-07,2
65334,Yasmin,Acne,10,2016-02-08,21
225793,Bupropion,ADHD,10,2011-06-15,224
201017,Zoloft,Depression,2,2017-06-28,14
134836,Nucynta ER,Diabetic Peripheral Neuropathy,1,2016-07-22,14
181313,Prozac,Major Depressive Disorde,1,2015-11-17,24
204311,BuSpar,Anxiety,3,2016-12-31,21
167965,Kariva,Birth Control,6,2009-11-17,4
140925,Escitalopram,Depression,10,2015-12-21,63
33560,Microgestin Fe 1 / 20,12</span> users found this comment helpful.,9,2012-12-24,12
81808,Liraglutide,"Diabetes, Type 2",9,2017-03-30,26
223540,Sutent,Renal Cell Carcinoma,9,2010-12-23,80
15168,Ethinyl estradiol / norethindrone,Birth Control,8,2017-05-18,6
72043,Tramadol,Pain,1,2015-06-02,18
53685,Tylenol with Codeine #3,Pain,1,2017-04-18,2
204466,BuSpar,Panic Disorde,10,2014-10-26,84
70808,Magnesium citrate,Constipation,10,2017-02-17,16
214538,Tioconazole,Vaginal Yeast Infection,10,2015-04-11,22
230576,Depo-Provera,Birth Control,6,2011-04-15,2
192374,Drospirenone / ethinyl estradiol,,4,2015-04-13,8
187095,Safyral,Birth Control,5,2015-07-12,2
165665,Levonorgestrel,Emergency Contraception,10,2017-04-20,2
131772,Effexor XR,Depression,10,2015-12-24,28
176098,Desyrel,Insomnia,6,2012-02-07,26
103111,Glyburide,"Diabetes, Type 2",9,2013-07-10,11
214584,Escitalopram,Generalized Anxiety Disorde,10,2017-11-25,6
58995,Aldesleukin,Renal Cell Carcinoma,10,2010-09-13,13
201473,Zoloft,Social Anxiety Disorde,8,2015-02-24,47
186353,Desvenlafaxine,Depression,3,2012-01-15,7
165767,Levonorgestrel,,7,2017-04-03,0
192633,Drospirenone / ethinyl estradiol,Birth Control,4,2012-01-17,7
165109,Phentermine / topiramate,Obesity,10,2014-05-29,48
205428,Pristiq,Major Depressive Disorde,3,2015-04-09,11
229587,Lurasidone,Bipolar Disorde,5,2015-07-05,0
31465,Miconazole,Vaginal Yeast Infection,3,2016-04-21,3
136044,Acamprosate,Alcohol Dependence,10,2010-10-25,62
10545,Spironolactone,Acne,10,2015-01-12,82
180154,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,3,2017-01-18,6
53409,Demerol,Pain,10,2009-09-15,32
37326,Vyvanse,Binge Eating Disorde,8,2015-10-15,18
230601,Depo-Provera,Birth Control,10,2011-09-05,3
5486,Sovaldi,Hepatitis C,9,2016-01-11,9
64109,Sertraline,Depression,3,2017-04-28,12
70424,Motrin IB,Back Pain,9,2009-06-10,20
66458,Valacyclovir,Cold Sores,9,2011-11-12,7
14420,Buprenorphine / naloxone,Opiate Dependence,10,2010-08-07,16
198057,Metoprolol,Heart Attack,5,2011-05-23,14
205505,Pristiq,Depression,7,2013-11-10,81
120460,Montelukast,Asthma,9,2009-09-03,7
221339,Dextromethorphan,Cough,2,2016-10-25,10
171255,Levitra,Erectile Dysfunction,4,2017-09-14,2
195055,Restoril,Insomnia,1,2015-06-06,23
75416,Azathioprine,Autoimmune Hepatitis,10,2016-03-14,10
179764,Adapalene / benzoyl peroxide,Acne,2,2016-01-12,1
210167,Linzess,"Constipation, Chronic",10,2017-02-24,25
194809,Levetiracetam,Seizures,9,2016-12-07,28
221626,Ziana,Acne,10,2012-04-24,30
145956,Suboxone,Opiate Dependence,5,2017-05-29,19
110030,Nexplanon,Birth Control,9,2016-05-05,2
135690,Tinidazole,Bacterial Vaginitis,5,2014-08-31,12
115272,Diazepam,Not Listed / Othe,10,2009-04-02,9
10485,Spironolactone,Acne,9,2016-04-17,7
170238,Quetiapine,Bipolar Disorde,9,2016-08-17,23
113665,Acetaminophen / butalbital / caffeine,Headache,10,2009-01-12,30
14924,Ethinyl estradiol / norethindrone,Birth Control,5,2017-09-11,2
223117,Estradiol,Postmenopausal Symptoms,10,2016-02-20,11
106073,Gabapentin,ibromyalgia,9,2016-05-17,43
188723,ParaGard,Birth Control,10,2015-06-24,7
115374,Propofol,Anesthesia,10,2016-04-16,9
199475,Depo-Provera,Birth Control,9,2015-03-06,1
66036,Propranolol,mance Anxiety,10,2014-10-23,59
179979,Adapalene / benzoyl peroxide,Acne,9,2014-03-12,27
16674,Yaz,Menstrual Disorders,8,2009-10-01,8
35120,Levofloxacin,Pneumonia,1,2016-05-27,4
169001,Vilazodone,Depression,10,2012-06-22,25
157670,Accutane,Acne,10,2016-05-11,28
225775,Bupropion,Depression,10,2012-08-05,41
68412,Nalbuphine,Pain,7,2016-05-19,1
28898,Lexapro,Depression,10,2009-07-14,13
170146,Quetiapine,Generalized Anxiety Disorde,9,2017-04-10,25
57137,MiraLax,"Constipation, Acute",10,2011-06-13,142
173112,Clonazepam,Anxiety,10,2011-08-16,31
224041,Phenobarbital,Seizures,9,2016-12-02,5
166983,Levonorgestrel,Birth Control,9,2016-06-25,3
133232,Tri-Sprintec,0</span> users found this comment helpful.,5,2011-12-20,0
1103,Metronidazole,Rosacea,9,2012-02-29,110
72195,Tramadol,Chronic Pain,9,2014-05-31,20
197824,Metoprolol,Benign Essential Trem,9,2017-02-19,4
36268,Imiquimod,Human Papilloma Virus,8,2015-11-02,12
206605,Caffeine,Hypersomnia,8,2012-04-15,28
165916,Levonorgestrel,Birth Control,10,2017-03-05,7
227136,Etonogestrel,Birth Control,8,2014-05-24,29
32246,Lisinopril,Diabetic Kidney Disease,1,2017-07-07,3
80198,Benzonatate,Cough,10,2009-09-30,21
115012,Diazepam,Meniere's Disease,10,2015-11-14,52
159489,Ayr Saline Nasal,Nasal Congestion,4,2016-09-11,1
121298,Venlafaxine,Depression,1,2016-06-15,24
217603,Clarithromycin,Pneumonia,9,2011-02-26,20
137706,Enbrel,Psoriatic Arthritis,8,2016-09-19,11
15765,Ethinyl estradiol / norethindrone,Birth Control,3,2016-09-26,0
24509,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,10,2016-03-17,42
107693,Implanon,Birth Control,5,2010-05-05,1
50635,Gabapentin,Pain,9,2010-05-09,37
33395,Microgestin Fe 1 / 20,Birth Control,2,2015-10-21,3
133845,Restasis,Keratoconjunctivitis Sicca,1,2015-10-06,31
4554,Belviq,Weight Loss,7,2016-03-30,25
214067,Tioconazole,Vaginal Yeast Infection,1,2016-04-24,5
188073,Symbyax,Bipolar Disorde,7,2008-12-28,17
118748,Zoloft,Depression,1,2012-11-16,44
118795,Zoloft,Obsessive Compulsive Disorde,9,2012-03-01,90
168672,Vilazodone,Major Depressive Disorde,3,2016-04-22,15
24298,Tretinoin,Acne,8,2008-10-31,68
46619,Gleevec,Chronic Myelogenous Leukemia,10,2014-09-12,5
186587,Desvenlafaxine,Depression,7,2009-12-30,175
98320,Nexplanon,Birth Control,9,2015-03-31,0
156401,Ropinirole,Restless Legs Syndrome,10,2011-06-13,4
195537,Aviane,Birth Control,3,2015-10-05,4
230361,Depo-Provera,Endometriosis,7,2014-03-24,40
106078,Gabapentin,Anxiety,8,2016-05-09,66
104260,Ethinyl estradiol / levonorgestrel,Birth Control,8,2012-11-05,8
17953,Ethinyl estradiol / etonogestrel,Birth Control,9,2012-12-25,3
83706,Clomiphene,emale Infertility,10,2015-06-16,171
117213,Clotrimazole,Oral Thrush,2,2016-01-30,8
29210,Topiramate,Migraine Prevention,6,2016-09-21,9
145099,Etonogestrel,Birth Control,1,2015-11-08,9
96970,Ambien,Insomnia,10,2015-11-14,14
37351,Vyvanse,ADHD,8,2015-07-06,36
164015,Fluorouracil,Actinic Keratosis,10,2016-10-18,10
99363,Genvoya,HIV Infection,10,2017-09-24,3
72178,Tramadol,Pain,9,2014-08-01,73
190911,Tessalon Perles,Cough,9,2015-01-04,63
140329,Asenapine,Bipolar Disorde,10,2011-06-24,11
112356,Gabapentin,Anxiety,1,2016-11-24,40
51992,Adipex-P,Weight Loss,8,2015-06-03,37
104100,Ethinyl estradiol / levonorgestrel,Birth Control,10,2013-10-02,5
207893,Suprep Bowel Prep Kit,Bowel Preparation,8,2015-07-23,15
214843,Prenatal Plus,Vitamin/Mineral Supplementation during Pregnancy/Lactation,10,2011-10-04,19
167823,Keflex,Bacterial Infection,9,2015-03-26,58
22756,Vitamin D2,Vitamin D Deficiency,10,2009-10-18,150
17131,Flexeril,Sciatica,9,2012-12-24,101
126217,Viibryd,Depression,10,2012-04-20,70
71206,Lysteda,Menstrual Disorders,10,2013-07-12,117
29756,Topiramate,Migraine Prevention,4,2009-11-28,14
194346,Omnicef,Otitis Media,1,2009-04-13,11
175354,Augmentin,Skin or Soft Tissue Infection,2,2017-09-03,1
191287,Pentasa,Crohn's Disease,10,2014-03-11,6
70362,Zofran,Nausea/Vomiting,7,2010-02-21,15
103669,Kapidex,GERD,1,2009-06-10,21
219262,Serzone,Depression,10,2009-12-17,59
85190,Ethinyl estradiol / norgestimate,Birth Control,9,2015-08-31,10
201089,Zoloft,Depression,4,2017-01-25,16
20355,Hyoscyamine / methenamine / methylene blue / phenyl salicylate,Urinary Tract Infection,2,2017-11-04,0
161518,Diphenhydramine,Insomnia,3,2009-02-11,14
34603,Minocycline,Rheumatoid Arthritis,4,2017-03-20,2
187531,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,2,2016-03-29,5
211618,Pitocin,Labor Induction,10,2014-08-15,16
130982,Levonorgestrel,Birth Control,1,2010-05-07,470
69918,Pyridostigmine,Myasthenia Gravis,8,2011-06-12,20
187562,Naprosyn,Back Pain,9,2012-08-28,30
188119,Elocon,Psoriasis,8,2008-10-02,38
116135,Clindamycin,Skin or Soft Tissue Infection,8,2017-01-09,8
134925,Pazopanib,Soft Tissue Sarcoma,10,2014-09-26,61
123696,Skyla,Birth Control,1,2017-03-07,2
162181,Denosumab,Osteoporosis,1,2016-06-27,157
112931,Bisacodyl,Constipation,10,2016-12-16,0
82840,Paxil,Anxiety,10,2016-10-26,58
114731,Methotrexate,Psoriasis,9,2014-05-06,86
26463,Sprintec,Ovarian Cysts,3,2015-01-18,12
227344,Etonogestrel,Birth Control,1,2013-10-23,3
152480,Ciprofloxacin,Kidney Infections,10,2010-11-09,26
130786,Levonorgestrel,Birth Control,3,2011-11-07,0
38072,Adipex-P,Weight Loss,1,2016-01-23,11
81626,Liraglutide,Weight Loss,10,2017-07-07,12
176057,Buprenex,Pain,10,2011-06-16,15
123346,Apri,Birth Control,7,2013-05-16,5
107567,Implanon,Birth Control,10,2010-11-23,2
21389,Benzoyl peroxide / erythromycin,Acne,8,2017-05-30,2
154831,Metronidazole,Giardiasis,5,2017-05-04,0
145518,Qsymia,Weight Loss,10,2016-11-03,69
28807,Lexapro,Depression,8,2009-11-06,20
92082,Lyrica,ibromyalgia,9,2013-02-26,68
94171,Trintellix,Depression,9,2015-10-31,48
155506,Metronidazole,Diverticulitis,10,2014-12-12,30
30163,Klonopin,Anxiety,9,2015-07-10,51
204329,BuSpar,Anxiety,3,2017-07-24,21
208349,Oseltamivir,Influenza,10,2016-02-04,5
32998,Seasonique,Abnormal Uterine Bleeding,2,2015-05-07,8
212684,Niravam,Anxiety,10,2011-06-24,38
187972,Etonogestrel,Birth Control,10,2017-10-11,4
89158,Celexa,Anxiety and Stress,7,2017-03-05,62
187715,Codeine / guaifenesin,Cough,10,2010-03-22,28
224859,Bupropion,Depression,10,2016-10-26,145
30417,Klonopin,Anxiety,10,2009-10-30,84
10478,Spironolactone,Acne,9,2016-05-17,5
59972,NuvaRing,Birth Control,1,2015-07-17,9
34908,Minocycline,Acne,10,2015-07-05,15
79437,Plan B One-Step,Emergency Contraception,10,2015-05-04,24
9061,Cefuroxime,Sinusitis,10,2016-10-15,31
137998,Ortho Evra,Birth Control,7,2015-11-16,1
45774,Fluoxetine,Panic Disorde,3,2011-07-19,3
7953,Xanax,Anxiety,9,2012-04-27,32
92592,Ondansetron,Gastroenteritis,10,2009-04-26,66
156591,Dulaglutide,"Diabetes, Type 2",1,2017-05-18,12
25584,Supartz,Osteoarthritis,3,2016-04-04,20
87535,Naproxen,Period Pain,7,2015-10-19,9
53673,Alesse,Birth Control,6,2009-08-18,15
24171,Tretinoin,Acne,10,2015-10-06,16
97320,Ambien,Insomnia,6,2009-10-04,35
100825,Orlistat,Obesity,9,2015-11-18,35
219535,Microgestin Fe 1.5 / 30,Birth Control,9,2015-07-26,5
81176,Yaz,Birth Control,3,2017-08-10,10
105726,Methylprednisolone,Inflammatory Conditions,7,2014-08-13,22
182710,Cymbalta,Osteoarthritis,3,2017-07-02,8
109035,Nexplanon,Birth Control,1,2017-05-12,4
116614,Aspirin / carisoprodol,Muscle Pain,7,2016-03-11,0
217400,Clarithromycin,Pneumonia,10,2016-02-10,20
184770,Canagliflozin,"Diabetes, Type 2",6,2017-11-11,0
203523,Nasonex,Allergic Rhinitis,9,2015-08-29,4
189422,Oxycodone,Pain,9,2012-03-11,27
37359,Vyvanse,ADHD,8,2015-05-01,28
33815,Junel Fe 1 / 20,Birth Control,1,2017-04-08,6
60892,Kombiglyze XR,6</span> users found this comment helpful.,10,2012-10-04,6
35380,Levofloxacin,Sinusitis,10,2011-01-09,42
159532,Pegfilgrastim,Neutropenia Associated with Chemotherapy,8,2016-01-20,13
139178,Phentermine,Weight Loss,10,2008-09-09,50
129061,Levonorgestrel,Emergency Contraception,10,2015-11-12,13
32615,Lisinopril,High Blood Pressure,10,2009-09-09,13
58718,Azelaic acid,Rosacea,2,2016-11-27,6
148790,Mirena,Birth Control,1,2016-05-04,2
203871,Suvorexant,Insomnia,1,2016-02-18,16
212539,Lysine,"Herpes Simplex, Suppression",8,2017-09-22,6
177996,Duloxetine,Pain,1,2012-04-24,32
154285,Nexium,GERD,6,2010-01-25,22
33923,Junel Fe 1 / 20,Menstrual Disorders,2,2015-06-03,5
61402,Citalopram,Anxiety and Stress,10,2017-07-29,206
221103,Drysol,Hyperhidrosis,10,2016-05-09,14
30750,Miconazole,Vaginal Yeast Infection,1,2017-08-08,4
209020,Corticotropin,Multiple Sclerosis,1,2015-10-03,3
80264,Benzonatate,Cough,10,2015-12-17,10
210901,Mirtazapine,Depression,10,2016-02-02,44
28121,Lexapro,Generalized Anxiety Disorde,10,2015-09-18,77
66762,Seroquel,24</span> users found this comment helpful.,9,2013-09-19,24
98350,Nexplanon,Birth Control,9,2015-04-23,5
189698,Oxycodone,Pain,10,2009-07-08,42
56849,Meclizine,Vertig,9,2009-07-22,46
162715,Cefdinir,Sinusitis,10,2017-11-04,0
218532,Tri-Sprintec,Birth Control,10,2017-08-08,2
106428,Implanon,Birth Control,7,2016-05-02,8
61511,Citalopram,Depression,1,2017-05-13,8
101714,Methocarbamol,Muscle Spasm,1,2015-11-11,4
96811,Ambien,Insomnia,8,2016-11-21,25
51100,Azithromycin,Bronchitis,8,2016-07-28,9
218632,Tri-Sprintec,Birth Control,1,2016-05-03,3
13171,Sinemet,Restless Legs Syndrome,7,2015-08-30,12
164009,Fluorouracil,Actinic Keratosis,3,2017-01-06,7
38813,Esomeprazole,GERD,9,2014-11-28,76
134165,Prednisone,Asthma,1,2016-04-30,18
36834,Fentanyl,Pain,8,2008-08-12,7
194727,Pseudoephedrine,Nasal Congestion,8,2017-06-25,4
161188,Risperidone,Autism,9,2010-05-02,44
34471,Alpha 1-proteinase inhibitor,Alpha-1 Proteinase Inhibitor Deficiency,10,2008-11-15,11
165298,Phentermine / topiramate,Weight Loss,10,2013-03-03,113
221053,Junel Fe 1.5 / 30,Birth Control,1,2017-04-06,4
148989,Mirena,Birth Control,9,2015-10-02,12
215610,Copper,Birth Control,1,2017-06-27,6
116000,Divalproex sodium,Bipolar Disorde,7,2012-06-20,48
212446,Lamotrigine,Bipolar Disorde,10,2009-01-16,73
115738,Pravastatin,High Cholesterol,5,2011-11-29,283
220353,Amitriptyline,Anxiety and Stress,4,2014-02-13,62
12887,Vardenafil,Erectile Dysfunction,7,2016-10-14,17
94677,Abilify,Bipolar Disorde,2,2015-08-14,10
114107,Amlodipine,High Blood Pressure,2,2015-02-01,89
173111,Clonazepam,Restless Legs Syndrome,10,2011-08-26,28
124031,Skyla,Birth Control,5,2016-06-16,1
126410,Carvedilol,High Blood Pressure,9,2013-02-19,59
61207,Xyzal,Urticaria,10,2011-08-25,32
97581,Budeprion SR,Depression,8,2016-11-08,7
169744,Amitriptyline,ibromyalgia,2,2011-01-17,46
185981,Desvenlafaxine,Depression,5,2017-01-10,5
216769,Rosuvastatin,High Cholesterol,8,2014-03-27,90
138923,Phentermine,Weight Loss,8,2009-12-06,7
178597,Victoza,Weight Loss,4,2017-05-17,17
50289,Gabapentin,Anxiety,10,2014-04-25,199
148728,Mirena,Birth Control,10,2016-08-17,8
135893,Percocet,Pain,10,2011-02-17,4
38995,Contrave,Weight Loss,8,2017-08-15,27
11713,Trulicity,"Diabetes, Type 2",3,2017-03-20,67
49422,Ethinyl estradiol / levonorgestrel,Birth Control,2,2016-02-26,1
37729,Vyvanse,ADHD,10,2008-08-15,182
33854,Junel Fe 1 / 20,Birth Control,10,2016-06-17,9
62983,Tranexamic acid,Menstrual Disorders,10,2017-06-01,31
39589,Contrave,Obesity,9,2016-02-03,23
109920,Nexplanon,Birth Control,1,2016-06-07,2
128788,Phentermine,Weight Loss,10,2015-01-24,91
59600,NuvaRing,Birth Control,1,2017-11-20,0
221482,Dextromethorphan,Cough,10,2014-10-04,13
34020,Junel Fe 1 / 20,Acne,6,2011-08-13,16
6703,Paxil CR,Panic Disorde,1,2016-06-09,3
52042,Adipex-P,Weight Loss,10,2014-11-16,212
188701,ParaGard,Birth Control,9,2015-12-16,6
151305,OxyContin,Pain,10,2008-06-17,134
31769,Miconazole,Vaginal Yeast Infection,3,2015-11-26,11
19076,Chlordiazepoxide,Anxiety,3,2009-06-08,28
179410,Olanzapine,Bipolar Disorde,9,2011-10-26,36
9532,Lo Loestrin Fe,Birth Control,1,2016-05-03,5
165657,Levonorgestrel,Emergency Contraception,5,2017-04-22,3
201205,Zoloft,Major Depressive Disorde,5,2016-08-28,11
153732,Doxycycline,Acne,7,2009-08-03,11
195429,Aviane,Birth Control,7,2017-09-05,2
173580,CellCept,Systemic Lupus Erythematosus,8,2009-10-26,38
212161,Lamotrigine,Bipolar Disorde,10,2015-04-09,9
138646,Phentermine,Weight Loss,5,2012-03-08,1
184605,Imodium A-D,Diarrhea,10,2011-09-15,46
189119,Oxycodone,Pain,9,2017-10-16,5
75490,Azathioprine,"Crohn's Disease, Acute",2,2010-09-12,6
222923,Topamax,Migraine Prevention,10,2010-01-09,3
144633,Etonogestrel,Birth Control,8,2016-02-29,4
153744,Doxycycline,Acne,4,2009-05-11,19
211529,Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection,7,2017-01-20,5
79066,Plan B One-Step,Emergency Contraception,5,2017-02-22,4
144905,Etonogestrel,Birth Control,10,2016-01-09,6
90693,Chateal,Birth Control,1,2016-08-21,1
168284,Rizatriptan,Migraine,10,2015-05-10,12
188570,ParaGard,Birth Control,9,2016-11-10,0
217916,Strattera,Social Anxiety Disorde,8,2008-11-08,15
7333,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,1,2017-07-06,11
10544,Spironolactone,Acne,10,2015-01-21,36
66244,Valacyclovir,"Herpes Simplex, Suppression",1,2016-11-17,9
72037,Tramadol,Depression,10,2015-06-08,121
193405,Cyclobenzaprine,Muscle Spasm,10,2013-01-07,34
140520,Escitalopram,Anxiety,10,2017-01-18,13
25898,Ethinyl estradiol / norelgestromin,Birth Control,8,2008-05-20,73
26515,Sprintec,Birth Control,10,2013-11-05,10
71586,Uptravi,Pulmonary Hypertension,6,2016-04-07,13
126657,Eletriptan,Migraine,10,2014-05-18,10
134107,Prednisone,Rheumatoid Arthritis,5,2017-04-29,8
123828,Skyla,Birth Control,10,2017-01-23,1
136884,Isotretinoin,Acne,10,2017-08-08,7
32471,Lisinopril,High Blood Pressure,4,2014-05-28,75
75032,Nitrofurantoin,Bladder Infection,5,2009-09-13,14
171383,Wellbutrin,Depression,9,2016-12-12,57
